entity_id,dataset,known_pct,unknown_pct,raw_weight,required_weight
OLIPOP-LLC,STRUCTURAL,0.12,0.88,0.3,2.5
OLIPOP-LLC,COMPLEXITY,0,1,0,2
OLIPOP-LLC,STRAIN,0,1,0,1.75
PUBLIC-GOODS-CO,STRUCTURAL,0.2,0.8,0.5,2.5
PUBLIC-GOODS-CO,COMPLEXITY,0,1,0,2
PUBLIC-GOODS-CO,STRAIN,0,1,0,1.75
MAGIC-SPOON,STRUCTURAL,0.12,0.88,0.3,2.5
MAGIC-SPOON,COMPLEXITY,0,1,0,2
MAGIC-SPOON,STRAIN,0,1,0,1.75
WILDWAY-FOODS,STRUCTURAL,0.24,0.76,0.6,2.5
WILDWAY-FOODS,COMPLEXITY,0,1,0,2
WILDWAY-FOODS,STRAIN,0,1,0,1.75
PELA-EARTH,STRUCTURAL,0.2,0.8,0.5,2.5
PELA-EARTH,COMPLEXITY,0,1,0,2
PELA-EARTH,STRAIN,0,1,0,1.75
BOLL-BRANCH,STRUCTURAL,0,1,0,2.5
BOLL-BRANCH,COMPLEXITY,0,1,0,2
BOLL-BRANCH,STRAIN,0.171,0.829,0.3,1.75
SAKARA-LIFE,STRUCTURAL,0.2,0.8,0.5,2.5
SAKARA-LIFE,COMPLEXITY,0,1,0,2
SAKARA-LIFE,STRAIN,0,1,0,1.75
NADA,STRUCTURAL,0,1,0,2.5
NADA,COMPLEXITY,0.15,0.85,0.3,2
NADA,STRAIN,0,1,0,1.75
CARIUMA-USA,STRUCTURAL,0.2,0.8,0.5,2.5
CARIUMA-USA,COMPLEXITY,0,1,0,2
CARIUMA-USA,STRAIN,0,1,0,1.75
CIRCUIT-BY-TONAL,STRUCTURAL,0.12,0.88,0.3,2.5
CIRCUIT-BY-TONAL,COMPLEXITY,0,1,0,2
CIRCUIT-BY-TONAL,STRAIN,0,1,0,1.75
OATLY-USA,STRUCTURAL,0.2,0.8,0.5,2.5
OATLY-USA,COMPLEXITY,0,1,0,2
OATLY-USA,STRAIN,0,1,0,1.75
BANZA,STRUCTURAL,0.2,0.8,0.5,2.5
BANZA,COMPLEXITY,0,1,0,2
BANZA,STRAIN,0,1,0,1.75
THRIVE-MARKET,STRUCTURAL,0.12,0.88,0.3,2.5
THRIVE-MARKET,COMPLEXITY,0,1,0,2
THRIVE-MARKET,STRAIN,0,1,0,1.75
GROVE-COLLABORATIVE,STRUCTURAL,0.12,0.88,0.3,2.5
GROVE-COLLABORATIVE,COMPLEXITY,0,1,0,2
GROVE-COLLABORATIVE,STRAIN,0,1,0,1.75
ALLBIRDS,STRUCTURAL,0.12,0.88,0.3,2.5
ALLBIRDS,COMPLEXITY,0,1,0,2
ALLBIRDS,STRAIN,0,1,0,1.75
VUORI,STRUCTURAL,0.2,0.8,0.5,2.5
VUORI,COMPLEXITY,0,1,0,2
VUORI,STRAIN,0,1,0,1.75
DR-SQUATCH,STRUCTURAL,0.12,0.88,0.3,2.5
DR-SQUATCH,COMPLEXITY,0,1,0,2
DR-SQUATCH,STRAIN,0,1,0,1.75
HIMS-HERS,STRUCTURAL,0.12,0.88,0.3,2.5
HIMS-HERS,COMPLEXITY,0,1,0,2
HIMS-HERS,STRAIN,0,1,0,1.75
ATHLETIC-GREENS,STRUCTURAL,0.2,0.8,0.5,2.5
ATHLETIC-GREENS,COMPLEXITY,0,1,0,2
ATHLETIC-GREENS,STRAIN,0,1,0,1.75
RITUAL,STRUCTURAL,0.12,0.88,0.3,2.5
RITUAL,COMPLEXITY,0,1,0,2
RITUAL,STRAIN,0,1,0,1.75
CARE-OF,STRUCTURAL,0.12,0.88,0.3,2.5
CARE-OF,COMPLEXITY,0,1,0,2
CARE-OF,STRAIN,0,1,0,1.75
FUNCTION-OF-BEAUTY,STRUCTURAL,0.12,0.88,0.3,2.5
FUNCTION-OF-BEAUTY,COMPLEXITY,0,1,0,2
FUNCTION-OF-BEAUTY,STRAIN,0,1,0,1.75
WHOOPI-MAYA,STRUCTURAL,0.2,0.8,0.5,2.5
WHOOPI-MAYA,COMPLEXITY,0,1,0,2
WHOOPI-MAYA,STRAIN,0,1,0,1.75
TUSHY,STRUCTURAL,0.2,0.8,0.5,2.5
TUSHY,COMPLEXITY,0,1,0,2
TUSHY,STRAIN,0,1,0,1.75
QUIP,STRUCTURAL,0.12,0.88,0.3,2.5
QUIP,COMPLEXITY,0,1,0,2
QUIP,STRAIN,0,1,0,1.75
BROOKLINEN,STRUCTURAL,0.2,0.8,0.5,2.5
BROOKLINEN,COMPLEXITY,0,1,0,2
BROOKLINEN,STRAIN,0,1,0,1.75
PARACHUTE-HOME,STRUCTURAL,0.12,0.88,0.3,2.5
PARACHUTE-HOME,COMPLEXITY,0,1,0,2
PARACHUTE-HOME,STRAIN,0,1,0,1.75
